,Model,Methodology,Metric,Mean,Std
101,XGBRegressor,randomCV_removed,RMSE,77.95,9.57
102,XGBRegressor,groupedCV,R2,0.24,0.61
103,XGBRegressor,groupedCV,MAE,110.9,57.62
104,XGBRegressor,groupedCV,RMSE,144.51,88.0
105,XGBRegressor,groupedCV_removed,R2,0.47,0.22
106,XGBRegressor,groupedCV_removed,MAE,86.6,28.25
107,XGBRegressor,groupedCV_removed,RMSE,104.25,33.86
108,CatBoostRegressor,trainTest,R2,0.88,0.0
109,CatBoostRegressor,trainTest,MAE,76.87,0.0
110,CatBoostRegressor,trainTest,RMSE,115.48,0.0
111,CatBoostRegressor,trainTest_removed,R2,0.64,0.0
112,CatBoostRegressor,trainTest_removed,MAE,54.87,0.0
113,CatBoostRegressor,trainTest_removed,RMSE,87.57,0.0
114,CatBoostRegressor,randomCV,R2,0.83,0.09
115,CatBoostRegressor,randomCV,MAE,60.82,10.45
116,CatBoostRegressor,randomCV,RMSE,84.73,15.21
117,CatBoostRegressor,randomCV_removed,R2,0.79,0.1
118,CatBoostRegressor,randomCV_removed,MAE,49.66,7.1
119,CatBoostRegressor,randomCV_removed,RMSE,72.44,12.86
120,CatBoostRegressor,groupedCV,R2,0.15,0.86
121,CatBoostRegressor,groupedCV,MAE,113.53,58.64
122,CatBoostRegressor,groupedCV,RMSE,145.51,88.56
123,CatBoostRegressor,groupedCV_removed,R2,0.47,0.19
124,CatBoostRegressor,groupedCV_removed,MAE,86.23,27.32
125,CatBoostRegressor,groupedCV_removed,RMSE,105.3,34.34
126,LGBMRegressor,trainTest,R2,0.83,0.0
127,LGBMRegressor,trainTest,MAE,77.51,0.0
128,LGBMRegressor,trainTest,RMSE,115.26,0.0
129,LGBMRegressor,trainTest_removed,R2,0.81,0.0
130,LGBMRegressor,trainTest_removed,MAE,63.55,0.0
131,LGBMRegressor,trainTest_removed,RMSE,79.47,0.0
132,LGBMRegressor,randomCV,R2,0.72,0.19
133,LGBMRegressor,randomCV,MAE,71.06,11.13
134,LGBMRegressor,randomCV,RMSE,102.9,23.45
135,LGBMRegressor,randomCV_removed,R2,0.74,0.11
136,LGBMRegressor,randomCV_removed,MAE,57.07,9.62
137,LGBMRegressor,randomCV_removed,RMSE,79.5,17.0
138,LGBMRegressor,groupedCV,R2,-0.4,1.07
139,LGBMRegressor,groupedCV,MAE,151.55,53.62
140,LGBMRegressor,groupedCV,RMSE,192.99,71.29
141,LGBMRegressor,groupedCV_removed,R2,0.37,0.25
142,LGBMRegressor,groupedCV_removed,MAE,90.7,22.42
143,LGBMRegressor,groupedCV_removed,RMSE,112.17,27.37
144,MLPRegressor,trainTest,R2,0.83,0.0
145,MLPRegressor,trainTest,MAE,82.31,0.0
146,MLPRegressor,trainTest,RMSE,138.81,0.0
147,MLPRegressor,trainTest_removed,R2,0.37,0.0
148,MLPRegressor,trainTest_removed,MAE,69.46,0.0
149,MLPRegressor,trainTest_removed,RMSE,116.14,0.0
150,MLPRegressor,randomCV,R2,0.73,0.19
151,MLPRegressor,randomCV,MAE,64.19,21.1
152,MLPRegressor,randomCV,RMSE,98.07,35.5
153,MLPRegressor,randomCV_removed,R2,0.72,0.18
154,MLPRegressor,randomCV_removed,MAE,56.64,15.09
155,MLPRegressor,randomCV_removed,RMSE,79.69,19.55
156,MLPRegressor,groupedCV,R2,0.16,0.59
157,MLPRegressor,groupedCV,MAE,112.94,49.91
158,MLPRegressor,groupedCV,RMSE,149.28,66.68
159,MLPRegressor,groupedCV_removed,R2,-0.12,0.8
160,MLPRegressor,groupedCV_removed,MAE,109.65,36.33
161,MLPRegressor,groupedCV_removed,RMSE,134.91,43.53
