,Model,Methodology,Metric,Mean,Std
118,GaussianProcessRegressor,randomCV_removed,MAE,225.17,159.24
119,GaussianProcessRegressor,randomCV_removed,RMSE,619.9,637.98
120,GaussianProcessRegressor,groupedCV,R2,-60896.75,147139.55
121,GaussianProcessRegressor,groupedCV,MAE,8000.45,15372.75
122,GaussianProcessRegressor,groupedCV,RMSE,18002.57,37243.98
123,GaussianProcessRegressor,groupedCV_removed,R2,-112.95,300.88
124,GaussianProcessRegressor,groupedCV_removed,MAE,476.59,755.53
125,GaussianProcessRegressor,groupedCV_removed,RMSE,1049.52,2072.37
126,RandomForestRegressor,trainTest,R2,0.88,0
127,RandomForestRegressor,trainTest,MAE,84.73,0
128,RandomForestRegressor,trainTest,RMSE,116.34,0
129,RandomForestRegressor,trainTest_removed,R2,0.62,0
130,RandomForestRegressor,trainTest_removed,MAE,64.88,0
131,RandomForestRegressor,trainTest_removed,RMSE,90.84,0
132,RandomForestRegressor,randomCV,R2,0.84,0.09
133,RandomForestRegressor,randomCV,MAE,61.59,14.89
134,RandomForestRegressor,randomCV,RMSE,83.62,19.08
135,RandomForestRegressor,randomCV_removed,R2,0.76,0.09
136,RandomForestRegressor,randomCV_removed,MAE,54.23,10.03
137,RandomForestRegressor,randomCV_removed,RMSE,77.09,12.53
138,RandomForestRegressor,groupedCV,R2,0.21,0.53
139,RandomForestRegressor,groupedCV,MAE,114.59,57.38
140,RandomForestRegressor,groupedCV,RMSE,151.52,92.11
141,RandomForestRegressor,groupedCV_removed,R2,0.37,0.39
142,RandomForestRegressor,groupedCV_removed,MAE,91.46,35.95
143,RandomForestRegressor,groupedCV_removed,RMSE,113.39,47.66
144,XGBRegressor,trainTest,R2,0.88,0
145,XGBRegressor,trainTest,MAE,80.15,0
146,XGBRegressor,trainTest,RMSE,117.3,0
147,XGBRegressor,trainTest_removed,R2,0.59,0
148,XGBRegressor,trainTest_removed,MAE,60.72,0
149,XGBRegressor,trainTest_removed,RMSE,94.04,0
150,XGBRegressor,randomCV,R2,0.8,0.13
151,XGBRegressor,randomCV,MAE,60.38,10.61
152,XGBRegressor,randomCV,RMSE,87.09,16.51
153,XGBRegressor,randomCV_removed,R2,0.72,0.09
154,XGBRegressor,randomCV_removed,MAE,57.72,7.66
155,XGBRegressor,randomCV_removed,RMSE,84.77,11.05
156,XGBRegressor,groupedCV,R2,0.1,0.74
157,XGBRegressor,groupedCV,MAE,118.94,61.11
158,XGBRegressor,groupedCV,RMSE,157.26,103.45
159,XGBRegressor,groupedCV_removed,R2,0.35,0.37
160,XGBRegressor,groupedCV_removed,MAE,93.43,31.68
161,XGBRegressor,groupedCV_removed,RMSE,113.96,39.22
162,CatBoostRegressor,trainTest,R2,0.89,0
163,CatBoostRegressor,trainTest,MAE,78.13,0
164,CatBoostRegressor,trainTest,RMSE,113.64,0
165,CatBoostRegressor,trainTest_removed,R2,0.63,0
166,CatBoostRegressor,trainTest_removed,MAE,58.07,0
167,CatBoostRegressor,trainTest_removed,RMSE,88.79,0
