,Model,Methodology,Metric,Mean,Std
102,GaussianProcessRegressor,groupedCV,R2,-0.46,1.53
103,GaussianProcessRegressor,groupedCV,MAE,151.96,70.86
104,GaussianProcessRegressor,groupedCV,RMSE,199.14,112.89
105,GaussianProcessRegressor,groupedCV_removed,R2,0.13,0.56
106,GaussianProcessRegressor,groupedCV_removed,MAE,100.13,29.44
107,GaussianProcessRegressor,groupedCV_removed,RMSE,123.08,32.66
108,RandomForestRegressor,trainTest,R2,0.88,0.0
109,RandomForestRegressor,trainTest,MAE,64.22,0.0
110,RandomForestRegressor,trainTest,RMSE,96.31,0.0
111,RandomForestRegressor,trainTest_removed,R2,0.81,0.0
112,RandomForestRegressor,trainTest_removed,MAE,62.14,0.0
113,RandomForestRegressor,trainTest_removed,RMSE,79.1,0.0
114,RandomForestRegressor,randomCV,R2,0.82,0.1
115,RandomForestRegressor,randomCV,MAE,59.18,11.12
116,RandomForestRegressor,randomCV,RMSE,83.51,16.36
117,RandomForestRegressor,randomCV_removed,R2,0.74,0.12
118,RandomForestRegressor,randomCV_removed,MAE,55.66,9.85
119,RandomForestRegressor,randomCV_removed,RMSE,80.93,15.35
120,RandomForestRegressor,groupedCV,R2,0.25,0.49
121,RandomForestRegressor,groupedCV,MAE,113.02,53.56
122,RandomForestRegressor,groupedCV,RMSE,148.85,83.88
123,RandomForestRegressor,groupedCV_removed,R2,0.42,0.32
124,RandomForestRegressor,groupedCV_removed,MAE,87.46,27.12
125,RandomForestRegressor,groupedCV_removed,RMSE,107.26,35.18
126,XGBRegressor,trainTest,R2,0.88,0.0
127,XGBRegressor,trainTest,MAE,69.61,0.0
128,XGBRegressor,trainTest,RMSE,96.39,0.0
129,XGBRegressor,trainTest_removed,R2,0.8,0.0
130,XGBRegressor,trainTest_removed,MAE,56.5,0.0
131,XGBRegressor,trainTest_removed,RMSE,79.87,0.0
132,XGBRegressor,randomCV,R2,0.83,0.1
133,XGBRegressor,randomCV,MAE,58.42,7.79
134,XGBRegressor,randomCV,RMSE,81.67,15.77
135,XGBRegressor,randomCV_removed,R2,0.76,0.08
136,XGBRegressor,randomCV_removed,MAE,55.06,6.11
137,XGBRegressor,randomCV_removed,RMSE,77.95,9.57
138,XGBRegressor,groupedCV,R2,0.24,0.61
139,XGBRegressor,groupedCV,MAE,110.9,57.62
140,XGBRegressor,groupedCV,RMSE,144.51,88.0
141,XGBRegressor,groupedCV_removed,R2,0.47,0.22
142,XGBRegressor,groupedCV_removed,MAE,86.6,28.25
143,XGBRegressor,groupedCV_removed,RMSE,104.25,33.86
144,CatBoostRegressor,trainTest,R2,0.88,0.0
145,CatBoostRegressor,trainTest,MAE,70.98,0.0
146,CatBoostRegressor,trainTest,RMSE,97.25,0.0
147,CatBoostRegressor,trainTest_removed,R2,0.8,0.0
148,CatBoostRegressor,trainTest_removed,MAE,65.9,0.0
149,CatBoostRegressor,trainTest_removed,RMSE,80.91,0.0
150,CatBoostRegressor,randomCV,R2,0.83,0.09
151,CatBoostRegressor,randomCV,MAE,60.82,10.45
152,CatBoostRegressor,randomCV,RMSE,84.73,15.21
153,CatBoostRegressor,randomCV_removed,R2,0.79,0.1
154,CatBoostRegressor,randomCV_removed,MAE,49.66,7.1
155,CatBoostRegressor,randomCV_removed,RMSE,72.44,12.86
156,CatBoostRegressor,groupedCV,R2,0.15,0.86
157,CatBoostRegressor,groupedCV,MAE,113.53,58.64
158,CatBoostRegressor,groupedCV,RMSE,145.51,88.56
159,CatBoostRegressor,groupedCV_removed,R2,0.47,0.19
160,CatBoostRegressor,groupedCV_removed,MAE,86.23,27.32
161,CatBoostRegressor,groupedCV_removed,RMSE,105.3,34.34
162,LGBMRegressor,trainTest,R2,0.83,0.0
163,LGBMRegressor,trainTest,MAE,77.51,0.0
164,LGBMRegressor,trainTest,RMSE,115.26,0.0
165,LGBMRegressor,trainTest_removed,R2,0.81,0.0
166,LGBMRegressor,trainTest_removed,MAE,63.55,0.0
