,Model,Methodology,Metric,Mean,Std
116,RandomForestRegressor,randomCV,RMSE,83.62,19.08
117,RandomForestRegressor,randomCV_removed,R2,0.76,0.09
118,RandomForestRegressor,randomCV_removed,MAE,54.23,10.03
119,RandomForestRegressor,randomCV_removed,RMSE,77.09,12.53
120,RandomForestRegressor,groupedCV,R2,0.21,0.53
121,RandomForestRegressor,groupedCV,MAE,114.59,57.38
122,RandomForestRegressor,groupedCV,RMSE,151.52,92.11
123,RandomForestRegressor,groupedCV_removed,R2,0.37,0.39
124,RandomForestRegressor,groupedCV_removed,MAE,91.46,35.95
125,RandomForestRegressor,groupedCV_removed,RMSE,113.39,47.66
126,XGBRegressor,trainTest,R2,0.88,0
127,XGBRegressor,trainTest,MAE,70.05,0
128,XGBRegressor,trainTest,RMSE,96.92,0
129,XGBRegressor,trainTest_removed,R2,0.83,0
130,XGBRegressor,trainTest_removed,MAE,52.55,0
131,XGBRegressor,trainTest_removed,RMSE,73.54,0
132,XGBRegressor,randomCV,R2,0.8,0.13
133,XGBRegressor,randomCV,MAE,60.38,10.61
134,XGBRegressor,randomCV,RMSE,87.09,16.51
135,XGBRegressor,randomCV_removed,R2,0.72,0.09
136,XGBRegressor,randomCV_removed,MAE,57.72,7.66
137,XGBRegressor,randomCV_removed,RMSE,84.77,11.05
138,XGBRegressor,groupedCV,R2,0.1,0.74
139,XGBRegressor,groupedCV,MAE,118.94,61.11
140,XGBRegressor,groupedCV,RMSE,157.26,103.45
141,XGBRegressor,groupedCV_removed,R2,0.35,0.37
142,XGBRegressor,groupedCV_removed,MAE,93.43,31.68
143,XGBRegressor,groupedCV_removed,RMSE,113.96,39.22
144,CatBoostRegressor,trainTest,R2,0.88,0
145,CatBoostRegressor,trainTest,MAE,66.85,0
146,CatBoostRegressor,trainTest,RMSE,96.63,0
147,CatBoostRegressor,trainTest_removed,R2,0.83,0
148,CatBoostRegressor,trainTest_removed,MAE,59.69,0
149,CatBoostRegressor,trainTest_removed,RMSE,74.96,0
150,CatBoostRegressor,randomCV,R2,0.84,0.09
151,CatBoostRegressor,randomCV,MAE,58.06,11.55
152,CatBoostRegressor,randomCV,RMSE,80.52,18.7
153,CatBoostRegressor,randomCV_removed,R2,0.77,0.1
154,CatBoostRegressor,randomCV_removed,MAE,50.89,8.79
155,CatBoostRegressor,randomCV_removed,RMSE,73.82,12.25
156,CatBoostRegressor,groupedCV,R2,0.28,0.57
157,CatBoostRegressor,groupedCV,MAE,111.86,65.18
158,CatBoostRegressor,groupedCV,RMSE,146.95,102.56
159,CatBoostRegressor,groupedCV_removed,R2,0.42,0.33
160,CatBoostRegressor,groupedCV_removed,MAE,88.64,32.85
161,CatBoostRegressor,groupedCV_removed,RMSE,108.26,40.37
162,LGBMRegressor,trainTest,R2,0.51,0
163,LGBMRegressor,trainTest,MAE,129.04,0
164,LGBMRegressor,trainTest,RMSE,197.19,0
165,LGBMRegressor,trainTest_removed,R2,0.7,0
166,LGBMRegressor,trainTest_removed,MAE,73.66,0
167,LGBMRegressor,trainTest_removed,RMSE,99.02,0
168,LGBMRegressor,randomCV,R2,0.38,0.15
169,LGBMRegressor,randomCV,MAE,115.81,17.25
170,LGBMRegressor,randomCV,RMSE,173.57,42.71
171,LGBMRegressor,randomCV_removed,R2,0.55,0.16
172,LGBMRegressor,randomCV_removed,MAE,80.06,15.94
173,LGBMRegressor,randomCV_removed,RMSE,108.16,24.09
174,LGBMRegressor,groupedCV,R2,-0.23,0.5
175,LGBMRegressor,groupedCV,MAE,144.78,85.41
176,LGBMRegressor,groupedCV,RMSE,206.85,133.59
177,LGBMRegressor,groupedCV_removed,R2,-0.23,1.19
178,LGBMRegressor,groupedCV_removed,MAE,112.71,40.53
179,LGBMRegressor,groupedCV_removed,RMSE,145.13,50.4
180,MLPRegressor,trainTest,R2,-0.54,0
181,MLPRegressor,trainTest,MAE,224.72,0
182,MLPRegressor,trainTest,RMSE,349.09,0
183,MLPRegressor,trainTest_removed,R2,-1.22,0
184,MLPRegressor,trainTest_removed,MAE,209.47,0
185,MLPRegressor,trainTest_removed,RMSE,268.49,0
186,MLPRegressor,randomCV,R2,-1.29,0.81
187,MLPRegressor,randomCV,MAE,240.5,45.62
188,MLPRegressor,randomCV,RMSE,329.51,77.01
189,MLPRegressor,randomCV_removed,R2,-1.64,0.74
190,MLPRegressor,randomCV_removed,MAE,204.04,22.12
191,MLPRegressor,randomCV_removed,RMSE,259.15,19.78
192,MLPRegressor,groupedCV,R2,-1.9,1.22
193,MLPRegressor,groupedCV,MAE,237.27,94.99
194,MLPRegressor,groupedCV,RMSE,304.85,142.81
195,MLPRegressor,groupedCV_removed,R2,-2.12,1.15
196,MLPRegressor,groupedCV_removed,MAE,207.04,54.01
197,MLPRegressor,groupedCV_removed,RMSE,253.58,70.46
198,Model,Methodology,Metric,Mean,Std
199,VotingRegressor,trainTest,R2,0.84,0
200,VotingRegressor,trainTest,MAE,77.19,0
201,VotingRegressor,trainTest,RMSE,111.9,0
202,VotingRegressor,trainTest_removed,R2,0.82,0
203,VotingRegressor,trainTest_removed,MAE,58.3,0
204,VotingRegressor,trainTest_removed,RMSE,75.61,0
205,VotingRegressor,randomCV,R2,0.81,0.11
206,VotingRegressor,randomCV,MAE,66.04,12.61
207,VotingRegressor,randomCV,RMSE,88.88,18
208,VotingRegressor,randomCV_removed,R2,0.76,0.09
209,VotingRegressor,randomCV_removed,MAE,57.91,9.93
210,VotingRegressor,randomCV_removed,RMSE,77.44,13.19
211,VotingRegressor,groupedCV,R2,0.28,0.44
212,VotingRegressor,groupedCV,MAE,111.29,60.85
213,VotingRegressor,groupedCV,RMSE,147.5,96.38
214,VotingRegressor,groupedCV_removed,R2,0.43,0.3
215,VotingRegressor,groupedCV_removed,MAE,84.36,28.23
216,VotingRegressor,groupedCV_removed,RMSE,104.21,30.24
